"","term","estimate","std.error","statistic","p.value"
"104","countryPoland",32.6980833333387,1.46324195844225,22.3463270340804,3.39400916813936e-96
"105","countryPortugal",32.9410000000055,1.46324195844225,22.5123396783086,2.01984296767981e-97
"106","countryPuerto Rico",35.2605000000055,1.46324195844225,24.0975183882393,2.41658359637081e-109
"107","countryReunion",29.165416666672,1.46324195844225,19.9320532728034,6.19434848578361e-79
"108","countryRomania",30.8118333333387,1.46324195844225,21.0572374278692,7.63323133454338e-87
"109","countryRwanda",4.0027500000053,1.46324195844225,2.73553527966528,0.0062984017213943
"110","countrySao Tome and Principe",20.4175000000052,1.46324195844225,13.9536047898336,8.65788763500417e-42
"111","countrySaudi Arabia",21.1999166666721,1.46324195844225,14.4883192723924,9.98953364974114e-45
"112","countrySenegal",13.1470833333386,1.46324195844224,8.98490045168943,7.28409106992479e-19
"113","countrySerbia",31.0721666666721,1.46324195844225,21.2351528654571,4.07190761196977e-88
"114","countrySierra Leone",-0.70966666666134,1.46324195844224,-0.484996116033229,0.627747152482487
"115","countrySingapore",33.7414166666719,1.46324195844224,23.0593556123778,1.72009116712796e-101
"116","countrySlovak Republic",33.2172500000055,1.46324195844225,22.7011327882971,8.05766884992128e-99
"117","countrySlovenia",34.1219166666719,1.46324195844225,23.3193946290317,1.92358431846063e-103
"118","countrySomalia",3.50983333333861,1.46324195844225,2.39866914223478,0.0165714908342577
"119","countrySouth Africa",16.5143333333387,1.46324195844225,11.2861261516309,1.88004068957266e-28
"120","countrySpain",36.7245833333388,1.46324195844225,25.0980933955962,4.65591808367021e-117
"121","countrySri Lanka",29.0472500000052,1.46324195844224,19.8512965216831,2.23851842084223e-78
"122","countrySudan",10.9216666666719,1.46324195844225,7.46401960636709,1.38773857801374e-13
"123","countrySwaziland",11.5235833333387,1.46324195844225,7.87537786683383,6.3122233126787e-15
"124","countrySweden",38.698166666672,1.46324195844225,26.4468678220994,1.15635784710323e-127
"125","countrySwitzerland",38.0862500000052,1.46324195844224,26.0286754219046,2.36988366945612e-124
"126","countrySyria",23.8673333333386,1.46324195844224,16.3112690936963,2.37303412338411e-55
"127","countryTaiwan",32.8578333333386,1.46324195844225,22.4555024162366,5.31338843500287e-97
"128","countryTanzania",10.4335000000052,1.46324195844224,7.13039968530746,1.52483057983814e-12
"129","countryThailand",24.7214166666719,1.46324195844225,16.8949615776396,6.10190523706506e-59
"130","countryTogo",14.019916666672,1.46324195844225,9.58140694762296,3.61058155228663e-21
"131","countryTrinidad and Tobago",29.349166666672,1.46324195844225,20.057630590307,8.35044204997005e-80
"132","countryTunisia",23.2421666666719,1.46324195844224,15.8840214583618,8.84578973575603e-53
"133","countryTurkey",22.2175833333386,1.46324195844225,15.1838068920544,1.13423894912551e-48
"134","countryUganda",10.1400000000053,1.46324195844225,6.929817684288,6.14303940644698e-12
"135","countryUnited Kingdom",36.4437500000052,1.46324195844225,24.9061679715656,1.44028512805807e-115
"136","countryUnited States",35.999666666672,1.46324195844225,24.602675216474,3.20066571759598e-113
"137","countryUruguay",33.3027500000053,1.46324195844225,22.7595646829722,2.96481024814365e-99
"138","countryVenezuela",29.1018333333386,1.46324195844225,19.8885995343656,1.23706561829719e-78
"139","countryVietnam",20.000666666672,1.46324195844225,13.668735065501,2.93704503997422e-40
"140","countryWest Bank and Gaza",22.8498333333386,1.46324195844225,15.615895376363,3.43223425569654e-51
"141","countryYemen, Rep.",9.30158333333864,1.46324195844225,6.35683201925197,2.69724821428468e-10
"142","countryZambia",8.51750000000531,1.46324195844225,5.82097851340523,7.08780303699609e-09
"143","countryZimbabwe",15.1843333333386,1.46324195844225,10.3771855677948,1.92271695221966e-24
